Month/Year: 07/2012
Station Location: LAURENCE G HANSCOM FLD APT (14702)
Lat: 42.47
Lon: -71.289
Elev: 133 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14702,20120701,0056,12,CLR, ,10.00, , , ,69, ,20.6, ,65, ,18.4, ,63, ,17.2, , 81, , 7, ,250, , , ,29.57, ,1, ,004, ,29.75, ,AA, , , ,29.72, 
14702,20120701,0156,12,CLR, ,10.00, , , ,68, ,20.0, ,65, ,18.2, ,63, ,17.2, , 84, , 6, ,240, , , ,29.57, , , , , ,29.75, ,AA, , , ,29.72, 
14702,20120701,0256,12,CLR, ,10.00, , , ,68, ,20.0, ,65, ,18.2, ,63, ,17.2, , 84, , 6, ,240, , , ,29.59, , , , , ,29.75, ,AA, , , ,29.73, 
14702,20120701,0356,12,CLR, ,10.00, , , ,68, ,20.0, ,64, ,17.9, ,62, ,16.7, , 81, , 7, ,240, , , ,29.59, ,3, ,008, ,29.77, ,AA, , , ,29.74, 
14702,20120701,0456,12,CLR, ,10.00, , , ,69, ,20.6, ,64, ,17.8, ,61, ,16.1, , 76, , 6, ,240, , , ,29.61, , , , , ,29.78, ,AA, , , ,29.75, 
14702,20120701,0556,12,CLR, ,10.00, , , ,72, ,22.2, ,66, ,18.7, ,62, ,16.7, , 71, , 6, ,240, , , ,29.62, , , , , ,29.79, ,AA, , , ,29.76, 
14702,20120701,0656,12,CLR, ,10.00, , , ,76, ,24.4, ,68, ,20.1, ,64, ,17.8, , 67, , 5, ,250, , , ,29.64, ,3, ,012, ,29.80, ,AA, , , ,29.78, 
14702,20120701,0756,12,CLR, ,10.00, , , ,82, ,27.8, ,70, ,20.9, ,63, ,17.2, , 53, , 5, ,VR , , , ,29.62, , , , , ,29.80, ,AA, , , ,29.77, 
14702,20120701,0856,12,CLR, ,10.00, , , ,85, ,29.4, ,70, ,20.8, ,61, ,16.1, , 45, ,11, ,250, , , ,29.62, , , , , ,29.80, ,AA, , , ,29.77, 
14702,20120701,0956,12,CLR, ,10.00, , , ,88, ,31.1, ,70, ,21.1, ,60, ,15.6, , 39, , 9, ,270, , , ,29.62, ,8, ,003, ,29.79, ,AA, , , ,29.77, 
14702,20120701,1056,12,FEW075, ,10.00, , , ,88, ,31.1, ,69, ,20.8, ,59, ,15.0, , 38, ,10, ,270, , , ,29.62, , , , , ,29.79, ,AA, , , ,29.76, 
14702,20120701,1156,12,FEW075, ,10.00, , , ,88, ,31.1, ,69, ,20.5, ,58, ,14.4, , 36, ,14, ,290, ,22, ,29.62, , , , , ,29.79, ,AA, , , ,29.76, 
14702,20120701,1256,12,SCT070, ,10.00, , , ,90, ,32.2, ,69, ,20.6, ,57, ,13.9, , 33, , 9, ,270, ,22, ,29.61, ,8, ,005, ,29.78, ,AA, , , ,29.75, 
14702,20120701,1356,12,SCT075, ,10.00, , , ,89, ,31.7, ,70, ,20.9, ,59, ,15.0, , 36, ,11, ,240, ,20, ,29.59, , , , , ,29.77, ,AA, , , ,29.74, 
