Month/Year: 09/2013
Station Location: GEN E L LOGAN INTERNATIONAL AIRPORT (14739)
Lat: 42.360
Lon: -71.010
Elev: 12 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14739,20130901,0047,11,BKN011 BKN075 OVC160, , 8.00, , , ,73, ,23.0, ,71, ,21.6, ,70, ,21.0, , 90, ,10, ,210, , , ,29.78, , , , , ,M, ,SP, , , ,29.81, 
14739,20130901,0054,11,BKN012 BKN075 OVC160, , 8.00, , , ,73, ,22.8, ,70, ,21.3, ,69, ,20.6, , 87, ,13, ,220, , , ,29.78, , , , , ,29.80, ,AA, , , ,29.81, 
14739,20130901,0129,11,SCT011 SCT080 BKN160, , 8.00, , , ,73, ,23.0, ,71, ,21.6, ,70, ,21.0, , 90, ,15, ,220, , , ,29.77, , , , , ,M, ,SP, , , ,29.80, 
14739,20130901,0154,11,SCT012 BKN140, , 8.00, , , ,73, ,22.8, ,71, ,21.6, ,70, ,21.1, , 90, ,15, ,220, , , ,29.76, , , , , ,29.79, ,AA, , , ,29.79, 
14739,20130901,0254,11,FEW012 SCT120 BKN250, , 8.00, , , ,74, ,23.3, ,71, ,21.5, ,69, ,20.6, , 84, ,11, ,250, , , ,29.78, , , , , ,29.81, ,AA, , , ,29.81, 
14739,20130901,0354,11,FEW012 BKN110 BKN250, , 8.00, , , ,73, ,22.8, ,70, ,21.3, ,69, ,20.6, , 87, , 8, ,230, , , ,29.77, , , , , ,29.80, ,AA, , , ,29.80, 
14739,20130901,0454,11,FEW012 SCT070 BKN100, , 8.00, , , ,73, ,22.8, ,69, ,20.2, ,66, ,18.9, , 79, , 8, ,240, , , ,29.80, , , , , ,29.83, ,AA, ,  T, ,29.83, 
14739,20130901,0554,11,SCT055 BKN100 BKN200, ,10.00, , , ,73, ,22.8, ,69, ,20.6, ,67, ,19.4, , 82, , 9, ,230, , , ,29.82, , , , , ,29.85, ,AA, ,  T, ,29.85, 
14739,20130901,0654,11,SCT075 BKN100 BKN200, ,10.00, , , ,72, ,22.2, ,69, ,20.4, ,67, ,19.4, , 84, ,11, ,230, , , ,29.83, , , , , ,29.85, ,AA, ,  T, ,29.86, 
14739,20130901,0754,11,FEW050 OVC075, ,10.00, , , ,73, ,22.8, ,70, ,21.3, ,69, ,20.6, , 87, ,10, ,210, , , ,29.83, , , , , ,29.85, ,AA, , , ,29.86, 
14739,20130901,0842,11,BKN038 BKN047 OVC085, , 1.75, ,+TSRA BR, ,72, ,22.0, ,71, ,21.4, ,70, ,21.0, , 93, ,14, ,220, , , ,29.85, , , , , ,M, ,SP, , , ,29.88, 
14739,20130901,0847,11,BKN038CB BKN050 OVC080, , 2.00, ,+TSRA BR, ,72, ,22.0, ,69, ,20.7, ,68, ,20.0, , 87, ,14, ,210, , , ,29.85, , , , , ,M, ,SP, , , ,29.88, 
14739,20130901,0854,11,BKN038CB BKN050 OVC080, , 3.00, ,+TSRA BR, ,71, ,21.7, ,68, ,20.2, ,67, ,19.4, , 87, ,13, ,210, , , ,29.84, , , , , ,29.87, ,AA, ,0.16, ,29.87, 
14739,20130901,0905,11,BKN038CB BKN055 OVC080, , 2.00, ,+TSRA BR, ,70, ,21.0, ,67, ,19.7, ,66, ,19.0, , 87, ,11, ,210, , , ,29.84, , , , , ,M, ,SP, , , ,29.87, 
14739,20130901,0915,11,SCT036CB OVC085, , 9.00, ,-TSRA, ,70, ,21.0, ,69, ,20.3, ,68, ,20.0, , 93, , 6, ,190, , , ,29.84, , , , , ,M, ,SP, , , ,29.87, 
14739,20130901,0935,11,SCT070 BKN085 OVC110, ,10.00, , , ,72, ,22.0, ,69, ,20.7, ,68, ,20.0, , 87, ,11, ,250, ,18, ,29.85, , , , , ,M, ,SP, , , ,29.88, 
14739,20130901,0954,11,FEW050 BKN075 BKN110, , 9.00, ,-RA, ,71, ,21.7, ,68, ,20.2, ,67, ,19.4, , 87, ,21, ,240, ,28, ,29.84, , , , , ,29.87, ,AA, ,0.12, ,29.87, 
14739,20130901,1007,11,SCT038 OVC075, , 2.50, ,-RA BR, ,72, ,22.0, ,68, ,20.0, ,66, ,19.0, , 82, , 7, ,250, , , ,29.84, , , , , ,M, ,SP, , , ,29.87, 
14739,20130901,1011,11,SCT040 BKN075 OVC110, , 5.00, ,-RA, ,72, ,22.0, ,68, ,20.0, ,66, ,19.0, , 82, , 7, ,240, , , ,29.84, , , , , ,M, ,SP, , , ,29.87, 
14739,20130901,1054,11,SCT050TCU BKN070 OVC110, ,10.00, ,-RA, ,73, ,22.8, ,70, ,20.9, ,68, ,20.0, , 84, , 9, ,210, , , ,29.83, , , , , ,29.86, ,AA, ,0.09, ,29.86, 
14739,20130901,1152,11,BKN011 BKN090 OVC110, ,10.00, , , ,73, ,23.0, ,71, ,21.6, ,70, ,21.0, , 90, , 5, ,240, , , ,29.84, , , , , ,M, ,SP, , , ,29.87, 
14739,20130901,1154,11,BKN011 OVC090, ,10.00, , , ,73, ,22.8, ,70, ,21.3, ,69, ,20.6, , 87, , 5, ,230, , , ,29.84, , , , , ,29.87, ,AA, ,0.01, ,29.87, 
14739,20130901,1211,11,OVC009, ,10.00, ,-RA, ,73, ,23.0, ,71, ,21.6, ,70, ,21.0, , 90, , 7, ,220, , , ,29.83, , , , , ,M, ,SP, , , ,29.86, 
14739,20130901,1254,11,FEW006 BKN007 OVC100, , 9.00, , , ,74, ,23.3, ,72, ,22.2, ,71, ,21.7, , 90, , 7, ,190, , , ,29.82, , , , , ,29.85, ,AA, ,  T, ,29.85, 
14739,20130901,1322,11,SCT009 BKN024 BKN150, ,10.00, , , ,75, ,24.0, ,73, ,22.7, ,72, ,22.0, , 90, , 3, ,170, , , ,29.83, , , , , ,M, ,SP, , , ,29.86, 
14739,20130901,1331,11,BKN009 BKN022 OVC200, , 9.00, , , ,75, ,24.0, ,73, ,22.7, ,72, ,22.0, , 90, , 0, ,000, , , ,29.83, , , , , ,M, ,SP, , , ,29.86, 
14739,20130901,1345,11,BKN011 OVC024, ,10.00, , , ,75, ,24.0, ,73, ,22.7, ,72, ,22.0, , 90, , 3, ,180, , , ,29.83, , , , , ,M, ,SP, , , ,29.86, 
14739,20130901,1352,11,FEW009 OVC011, ,10.00, , , ,75, ,24.0, ,73, ,22.7, ,72, ,22.0, , 90, , 5, ,VR , , , ,29.82, , , , , ,M, ,SP, , , ,29.85, 
14739,20130901,1354,11,FEW009 OVC011, ,10.00, , , ,76, ,24.4, ,73, ,22.9, ,72, ,22.2, , 87, , 5, ,220, , , ,29.82, , , , , ,29.85, ,AA, , , ,29.85, 
14739,20130901,1418,11,SCT011 OVC150, , 8.00, , , ,77, ,25.0, ,74, ,23.4, ,73, ,23.0, , 88, , 0, ,000, , , ,29.82, , , , , ,M, ,SP, , , ,29.85, 
14739,20130901,1452,11,BKN013 BKN021 BKN029, , 9.00, , , ,75, ,24.0, ,73, ,22.7, ,72, ,22.0, , 90, , 7, ,140, , , ,29.82, , , , , ,M, ,SP, , , ,29.85, 
14739,20130901,1454,11,SCT013 BKN019 BKN029, , 9.00, , , ,76, ,24.4, ,73, ,22.9, ,72, ,22.2, , 87, , 6, ,120, , , ,29.82, , , , , ,29.84, ,AA, , , ,29.85, 
14739,20130901,1505,11,SCT015 SCT027 BKN120, ,10.00, , , ,75, ,24.0, ,73, ,22.7, ,72, ,22.0, , 90, , 8, ,070, , , ,29.81, , , , , ,M, ,SP, , , ,29.84, 
