,Altimeter,AltimeterFlag,Date,DewPointCelsius,DewPointCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,DryBulbFarenheit,DryBulbFarenheitFlag,HourlyPrecip,HourlyPrecipFlag,PressureChange,PressureChangeFlag,PressureTendency,PressureTendencyFlag,RecordType,RecordTypeFlag,RelativeHumidity,RelativeHumidityFlag,SeaLevelPressure,SeaLevelPressureFlag,SkyCondition,SkyConditionFlag,StationPressure,StationPressureFlag,StationType,Time,ValueForWindCharacter,ValueForWindCharacterFlag,Visibility,VisibilityFlag,WBAN,WeatherType,WeatherTypeFlag,WetBulbCelsius,WetBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WindDirection,WindDirectionFlag,WindSpeed,WindSpeedFlag
0,29.95,,20120601.0,13.9, ,57.0, ,16.7, ,62.0, , , ,24.0, ,1.0, ,AA, ,84.0, ,29.95, ,CLR, ,29.92, ,11.0,54.0, , ,10.0, ,14739.0, , ,15.0, ,59.0, ,10.0, ,8.0, 
1,29.97,,20120601.0,12.2, ,54.0, ,16.7, ,62.0, , , , , , , ,AA, ,75.0, ,29.97, ,BKN060, ,29.94, ,11.0,154.0, , ,10.0, ,14739.0, , ,14.1, ,58.0, ,10.0, ,9.0, 
2,29.99,,20120601.0,11.1, ,52.0, ,16.1, ,61.0, , , , , , , ,AA, ,72.0, ,29.99, ,BKN080, ,29.96, ,11.0,254.0, , ,10.0, ,14739.0, , ,13.3, ,56.0, ,10.0, ,9.0, 
3,30.01,,20120601.0,10.0, ,50.0, ,15.6, ,60.0, , , ,20.0, ,3.0, ,AA, ,70.0, ,30.01, ,BKN080, ,29.98, ,11.0,354.0, , ,10.0, ,14739.0, , ,12.5, ,55.0, ,30.0, ,8.0, 
4,30.03,,20120601.0,10.0, ,50.0, ,15.6, ,60.0, , , , , , , ,AA, ,70.0, ,30.03, ,FEW080, ,30.0, ,11.0,454.0, , ,10.0, ,14739.0, , ,12.5, ,55.0, ,40.0, ,10.0, 
5,30.05,,20120601.0,7.8, ,46.0, ,16.7, ,62.0, , , , , , , ,AA, ,56.0, ,30.04, ,FEW080, ,30.02, ,11.0,554.0, , ,10.0, ,14739.0, , ,12.0, ,54.0, ,50.0, ,11.0, 
6,30.06,,20120601.0,6.7, ,44.0, ,17.2, ,63.0, , , ,15.0, ,1.0, ,AA, ,50.0, ,30.05, ,FEW080 SCT250, ,30.03, ,11.0,654.0, , ,10.0, ,14739.0, , ,11.7, ,53.0, ,50.0, ,15.0, 
7,30.08,,20120601.0,7.2, ,45.0, ,17.8, ,64.0, , , , , , , ,AA, ,50.0, ,30.08, ,FEW090 SCT250, ,30.05, ,11.0,754.0, , ,10.0, ,14739.0, , ,12.2, ,54.0, ,60.0, ,14.0, 
8,30.09,,20120601.0,10.0, ,50.0, ,17.2, ,63.0, , , , , , , ,AA, ,63.0, ,30.09, ,FEW040 SCT250, ,30.06, ,11.0,854.0, , ,10.0, ,14739.0, , ,13.2, ,56.0, ,80.0, ,15.0, 
9,30.09,,20120601.0,10.0, ,50.0, ,17.8, ,64.0, , , ,12.0, ,1.0, ,AA, ,61.0, ,30.09, ,FEW055 BKN250, ,30.06, ,11.0,954.0, , ,10.0, ,14739.0, , ,13.5, ,56.0, ,80.0, ,14.0, 
10,30.09,,20120601.0,8.3, ,47.0, ,17.8, ,64.0, , , , , , , ,AA, ,54.0, ,30.09, ,FEW055 BKN250, ,30.06, ,11.0,1054.0, , ,10.0, ,14739.0, , ,12.7, ,55.0, ,80.0, ,14.0, 
11,30.09,,20120601.0,7.8, ,46.0, ,17.8, ,64.0, , , , , , , ,AA, ,52.0, ,30.09, ,FEW060 SCT250, ,30.06, ,11.0,1154.0, , ,10.0, ,14739.0, , ,12.5, ,55.0, ,100.0, ,13.0, 
12,30.09,,20120601.0,8.3, ,47.0, ,17.8, ,64.0, , , ,2.0, ,8.0, ,AA, ,54.0, ,30.09, ,FEW060 SCT200 BKN300, ,30.06, ,11.0,1254.0, , ,10.0, ,14739.0, , ,12.7, ,55.0, ,110.0, ,10.0, 
13,30.08,,20120601.0,9.4, ,49.0, ,17.2, ,63.0, , , , , , , ,AA, ,60.0, ,30.08, ,FEW060 SCT160 BKN300, ,30.05, ,11.0,1354.0, , ,10.0, ,14739.0, , ,13.0, ,55.0, ,100.0, ,13.0, 
14,30.07,,20120601.0,8.9, ,48.0, ,16.1, ,61.0, , , , , , , ,AA, ,63.0, ,30.07, ,FEW060 SCT180 BKN300, ,30.04, ,11.0,1454.0, , ,10.0, ,14739.0, , ,12.2, ,54.0, ,110.0, ,13.0, 
15,30.06,,20120601.0,8.3, ,47.0, ,16.1, ,61.0, , , ,9.0, ,8.0, ,AA, ,60.0, ,30.06, ,SCT060 BKN180 OVC300, ,30.03, ,11.0,1554.0, , ,10.0, ,14739.0, , ,12.0, ,54.0, ,100.0, ,13.0, 
16,30.04,,20120601.0,8.9, ,48.0, ,16.1, ,61.0, , , , , , , ,AA, ,63.0, ,30.04, ,FEW070 SCT160 BKN220, ,30.01, ,11.0,1654.0, , ,10.0, ,14739.0, , ,12.2, ,54.0, ,110.0, ,13.0, 
17,30.04,,20120601.0,8.9, ,48.0, ,15.0, ,59.0, , , , , , , ,AA, ,67.0, ,30.03, ,FEW100 SCT160 BKN220, ,30.01, ,11.0,1754.0, , ,10.0, ,14739.0, , ,11.7, ,53.0, ,130.0, ,13.0, 
18,30.03,,20120601.0,7.8, ,46.0, ,15.0, ,59.0, , , ,9.0, ,6.0, ,AA, ,62.0, ,30.03, ,FEW100 SCT160 OVC220, ,30.0, ,11.0,1854.0, , ,10.0, ,14739.0, , ,11.2, ,52.0, ,130.0, ,13.0, 
19,30.05,,20120601.0,7.8, ,46.0, ,15.0, ,59.0, , , , , , , ,AA, ,62.0, ,30.05, ,FEW100 BKN160 OVC220, ,30.02, ,11.0,1954.0, , ,10.0, ,14739.0, , ,11.2, ,52.0, ,140.0, ,10.0, 
20,30.06,,20120601.0,7.8, ,46.0, ,15.0, ,59.0, , , , , , , ,AA, ,62.0, ,30.05, ,FEW100 BKN160 OVC220, ,30.03, ,11.0,2054.0, , ,10.0, ,14739.0, , ,11.2, ,52.0, ,140.0, ,8.0, 
21,30.04,,20120601.0,8.3, ,47.0, ,14.4, ,58.0, , , ,3.0, ,0.0, ,AA, ,67.0, ,30.04, ,SCT140 OVC220, ,30.01, ,11.0,2154.0, , ,10.0, ,14739.0, , ,11.2, ,52.0, ,140.0, ,10.0, 
22,30.03,,20120601.0,8.3, ,47.0, ,14.4, ,58.0, , , , , , , ,AA, ,67.0, ,30.02, ,SCT120 OVC220, ,30.0, ,11.0,2254.0, , ,10.0, ,14739.0, , ,11.2, ,52.0, ,120.0, ,10.0, 
23,30.01,,20120601.0,8.9, ,48.0, ,14.4, ,58.0, , , , , , , ,AA, ,70.0, ,30.01, ,FEW050 SCT120 BKN220, ,29.98, ,11.0,2354.0, , ,10.0, ,14739.0, , ,11.5, ,53.0, ,130.0, ,10.0, 
24,29.99,,20120602.0,9.4, ,49.0, ,13.9, ,57.0, , , ,17.0, ,8.0, ,AA, ,75.0, ,29.99, ,FEW050 SCT090 BKN120, ,29.96, ,11.0,54.0, , ,10.0, ,14739.0, , ,11.5, ,53.0, ,130.0, ,11.0, 
25,29.96,,20120602.0,10.0, ,50.0, ,14.4, ,58.0, , , , , , , ,AA, ,75.0, ,29.96, ,OVC065, ,29.93, ,11.0,154.0, , ,10.0, ,14739.0, , ,12.0, ,54.0, ,110.0, ,20.0, 
26,29.93,,20120602.0,11.1, ,52.0, ,14.4, ,58.0, , , , , , , ,AA, ,81.0, ,29.93, ,OVC060, ,29.9, ,11.0,254.0, , ,10.0, ,14739.0, , ,12.6, ,55.0, ,120.0, ,17.0, 
27,29.91,,20120602.0,10.6, ,51.0, ,14.4, ,58.0, , , ,27.0, ,6.0, ,AA, ,78.0, ,29.91, ,FEW025 OVC055, ,29.88, ,11.0,354.0, , ,10.0, ,14739.0, , ,12.3, ,54.0, ,110.0, ,18.0, 
28,29.92,,20120602.0,10.6, ,51.0, ,14.4, ,58.0, , , , , , , ,AA, ,78.0, ,29.91, ,FEW014 OVC050, ,29.89, ,11.0,454.0, , ,10.0, ,14739.0, , ,12.3, ,54.0, ,120.0, ,14.0, 
29,29.92,,20120602.0,10.6, ,51.0, ,13.3, ,56.0, ,0.08, , , , , ,AA, ,83.0, ,29.92, ,OVC041, ,29.89, ,11.0,554.0, , ,5.0, ,14739.0,RA, ,11.8, ,53.0, ,120.0, ,16.0, 
