Month/Year: 10/2013
Station Location: BLUE HILL OBSERVATORY (14753)
Lat: 42.212
Lon: -71.113
Elev: 625 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14753,20131001,0054,9,M, ,M, , , ,52, ,11.1, ,M, ,M, ,49, ,9.4, ,M, , 6, ,350, , , ,M, , , , , ,29.97, ,AA, , , ,29.94, 
14753,20131001,0154,9,M, ,M, , , ,52, ,11.1, ,M, ,M, ,50, ,10.0, ,M, ,10, ,310, , , ,M, , , , , ,29.96, ,AA, , , ,29.93, 
14753,20131001,0254,9,M, ,M, , , ,51, ,10.6, ,M, ,M, ,49, ,9.4, ,M, ,11, ,300, , , ,M, , , , , ,29.95, ,AA, , , ,29.92, 
14753,20131001,0354,9,M, ,M, , , ,51, ,10.6, ,M, ,M, ,49, ,9.4, ,M, ,13, ,320, , , ,M, , , , , ,29.96, ,AA, , , ,29.92, 
14753,20131001,0454,9,M, ,M, , , ,50, ,10.0, ,M, ,M, ,49, ,9.4, ,M, ,13, ,320, , , ,M, , , , , ,29.96, ,AA, , , ,29.92, 
14753,20131001,0554,9,M, ,M, , , ,50, ,10.0, ,M, ,M, ,48, ,8.9, ,M, ,14, ,320, , , ,M, , , , , ,29.97, ,AA, , , ,29.94, 
14753,20131001,0654,9,M, ,M, , , ,52, ,11.1, ,M, ,M, ,48, ,8.9, ,M, ,13, ,330, , , ,M, , , , , ,29.97, ,AA, , , ,29.94, 
14753,20131001,0754,9,M, ,M, , , ,55, ,12.8, ,M, ,M, ,49, ,9.4, ,M, , 8, ,340, , , ,M, , , , , ,29.98, ,AA, , , ,29.95, 
14753,20131001,0854,9,M, ,M, , , ,61, ,16.1, ,M, ,M, ,52, ,11.1, ,M, , 6, ,330, , , ,M, , , , , ,29.98, ,AA, , , ,29.95, 
14753,20131001,0954,9,M, ,M, , , ,65, ,18.3, ,M, ,M, ,52, ,11.1, ,M, , 3, ,330, , , ,M, , , , , ,29.96, ,AA, , , ,29.94, 
14753,20131001,1054,9,M, ,M, , , ,70, ,21.1, ,M, ,M, ,52, ,11.1, ,M, , 8, ,310, , , ,M, , , , , ,29.95, ,AA, , , ,29.93, 
14753,20131001,1154,9,M, ,M, , , ,72, ,22.2, ,M, ,M, ,49, ,9.4, ,M, , 8, ,340, , , ,M, , , , , ,29.93, ,AA, , , ,29.90, 
14753,20131001,1254,9,M, ,M, , , ,73, ,22.8, ,M, ,M, ,48, ,8.9, ,M, ,10, ,280, , , ,M, , , , , ,29.91, ,AA, , , ,29.88, 
14753,20131001,1354,9,M, ,M, , , ,74, ,23.3, ,M, ,M, ,48, ,8.9, ,M, ,11, ,320, ,16, ,M, , , , , ,29.90, ,AA, , , ,29.87, 
14753,20131001,1454,9,M, ,M, , , ,74, ,23.3, ,M, ,M, ,50, ,10.0, ,M, , 6, ,VR , , , ,M, , , , , ,29.89, ,AA, , , ,29.86, 
14753,20131001,1554,9,M, ,M, , , ,73, ,22.8, ,M, ,M, ,50, ,10.0, ,M, , 7, ,330, , , ,M, , , , , ,29.89, ,AA, , , ,29.86, 
14753,20131001,1654,9,M, ,M, , , ,70, ,21.1, ,M, ,M, ,51, ,10.6, ,M, , 0, ,000, , , ,M, , , , , ,29.90, ,AA, , , ,29.87, 
