Altimeter,AltimeterFlag,Date,DewPointCelsius,DewPointCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,DryBulbFarenheit,DryBulbFarenheitFlag,HourlyPrecip,HourlyPrecipFlag,PressureChange,PressureChangeFlag,PressureTendency,PressureTendencyFlag,RecordType,RecordTypeFlag,RelativeHumidity,RelativeHumidityFlag,SeaLevelPressure,SeaLevelPressureFlag,SkyCondition,SkyConditionFlag,StationPressure,StationPressureFlag,StationType,Time,ValueForWindCharacter,ValueForWindCharacterFlag,Visibility,VisibilityFlag,WBAN,WeatherType,WeatherTypeFlag,WetBulbCelsius,WetBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WindDirection,WindDirectionFlag,WindSpeed,WindSpeedFlag
29.95,,20120601.0,11.0, ,52.0, ,17.0, ,63.0, , , ,20.0, ,3.0, ,AUTO, ,M, ,29.96, ,M, ,M, ,9.0,54.0,16.0, ,M, ,14753.0, , ,M, ,M, ,10.0, ,8.0, 
29.96,,20120601.0,10.0, ,50.0, ,16.0, ,61.0, , , , , , , ,AUTO, ,M, ,29.98, ,M, ,M, ,9.0,154.0,18.0, ,M, ,14753.0, , ,M, ,M, ,20.0, ,11.0, 
29.98,,20120601.0,10.0, ,50.0, ,15.0, ,59.0, , , , , , , ,AUTO, ,M, ,30.01, ,M, ,M, ,9.0,254.0,17.0, ,M, ,14753.0, , ,M, ,M, ,20.0, ,10.0, 
30.0,,20120601.0,10.0, ,50.0, ,14.0, ,57.0, , , ,20.0, ,3.0, ,AUTO, ,M, ,30.03, ,M, ,M, ,9.0,354.0, , ,M, ,14753.0, , ,M, ,M, ,30.0, ,10.0, 
30.01,,20120601.0,10.0, ,50.0, ,14.0, ,57.0, , , , , , , ,AUTO, ,M, ,30.03, ,M, ,M, ,9.0,454.0,18.0, ,M, ,14753.0, , ,M, ,M, ,40.0, ,11.0, 
30.03,,20120601.0,9.0, ,48.0, ,16.0, ,61.0, , , , , , , ,AUTO, ,M, ,30.06, ,M, ,M, ,9.0,554.0,22.0, ,M, ,14753.0, , ,M, ,M, ,50.0, ,13.0, 
30.05,,20120601.0,7.0, ,45.0, ,16.0, ,61.0, , , ,14.0, ,3.0, ,AUTO, ,M, ,30.07, ,M, ,M, ,9.0,654.0,23.0, ,M, ,14753.0, , ,M, ,M, ,50.0, ,14.0, 
30.06,,20120601.0,7.0, ,45.0, ,17.0, ,63.0, , , , , , , ,AUTO, ,M, ,30.09, ,M, ,M, ,9.0,754.0,26.0, ,M, ,14753.0, , ,M, ,M, ,60.0, ,15.0, 
30.07,,20120601.0,8.0, ,46.0, ,17.0, ,63.0, , , , , , , ,AUTO, ,M, ,30.09, ,M, ,M, ,9.0,854.0,25.0, ,M, ,14753.0, , ,M, ,M, ,60.0, ,16.0, 
30.08,,20120601.0,9.0, ,48.0, ,17.0, ,63.0, , , ,12.0, ,1.0, ,AUTO, ,M, ,30.11, ,M, ,M, ,9.0,954.0,22.0, ,M, ,14753.0, , ,M, ,M, ,80.0, ,15.0, 
30.07,,20120601.0,8.0, ,46.0, ,18.0, ,64.0, , , , , , , ,AUTO, ,M, ,30.1, ,M, ,M, ,9.0,1054.0,20.0, ,M, ,14753.0, , ,M, ,M, ,70.0, ,10.0, 
30.07,,20120601.0,7.0, ,45.0, ,19.0, ,66.0, , , , , , , ,AUTO, ,M, ,30.1, ,M, ,M, ,9.0,1154.0,21.0, ,M, ,14753.0, , ,M, ,M, ,60.0, ,10.0, 
30.07,,20120601.0,6.0, ,43.0, ,18.0, ,64.0, , , ,5.0, ,7.0, ,AUTO, ,M, ,30.09, ,M, ,M, ,9.0,1254.0,21.0, ,M, ,14753.0, , ,M, ,M, ,70.0, ,13.0, 
30.06,,20120601.0,7.0, ,45.0, ,19.0, ,66.0, , , , , , , ,AUTO, ,M, ,30.09, ,M, ,M, ,9.0,1354.0, , ,M, ,14753.0, , ,M, ,M, ,80.0, ,8.0, 
30.05,,20120601.0,8.0, ,46.0, ,19.0, ,66.0, , , , , , , ,AUTO, ,M, ,30.07, ,M, ,M, ,9.0,1454.0,17.0, ,M, ,14753.0, , ,M, ,M, ,60.0, ,10.0, 
30.04,,20120601.0,7.0, ,45.0, ,18.0, ,64.0, , , ,7.0, ,7.0, ,AUTO, ,M, ,30.07, ,M, ,M, ,9.0,1554.0, , ,M, ,14753.0, , ,M, ,M, ,100.0, ,13.0, 
30.02,,20120601.0,6.0, ,43.0, ,17.0, ,63.0, , , , , , , ,AUTO, ,M, ,30.05, ,M, ,M, ,9.0,1654.0, , ,M, ,14753.0, , ,M, ,M, ,100.0, ,10.0, 
30.02,,20120601.0,6.0, ,43.0, ,15.0, ,59.0, , , , , , , ,AUTO, ,M, ,30.05, ,M, ,M, ,9.0,1754.0, , ,M, ,14753.0, , ,M, ,M, ,100.0, ,9.0, 
30.02,,20120601.0,6.0, ,43.0, ,14.0, ,57.0, , , ,8.0, ,6.0, ,AUTO, ,M, ,30.05, ,M, ,M, ,9.0,1854.0, , ,M, ,14753.0, , ,M, ,M, ,100.0, ,9.0, 
30.03,,20120601.0,5.0, ,41.0, ,13.0, ,55.0, , , , , , , ,AUTO, ,M, ,30.06, ,M, ,M, ,9.0,1954.0, , ,M, ,14753.0, , ,M, ,M, ,120.0, ,10.0, 
30.04,,20120601.0,6.0, ,43.0, ,13.0, ,55.0, , , , , , , ,AUTO, ,M, ,30.07, ,M, ,M, ,9.0,2054.0, , ,M, ,14753.0, , ,M, ,M, ,130.0, ,8.0, 
30.02,,20120601.0,7.0, ,45.0, ,13.0, ,55.0, , , ,0.0, ,0.0, ,AUTO, ,M, ,30.05, ,M, ,M, ,9.0,2154.0, , ,M, ,14753.0, , ,M, ,M, ,120.0, ,11.0, 
30.01,,20120601.0,8.0, ,46.0, ,13.0, ,55.0, , , , , , , ,AUTO, ,M, ,30.04, ,M, ,M, ,9.0,2254.0, , ,M, ,14753.0, , ,M, ,M, ,130.0, ,9.0, 
29.99,,20120601.0,9.0, ,48.0, ,12.0, ,54.0, , , , , , , ,AUTO, ,M, ,30.02, ,M, ,M, ,9.0,2354.0, , ,M, ,14753.0, , ,M, ,M, ,120.0, ,8.0, 
29.97,,20120602.0,10.0, ,50.0, ,12.0, ,54.0, , , ,18.0, ,8.0, ,AUTO, ,M, ,29.99, ,M, ,M, ,9.0,54.0, , ,M, ,14753.0, , ,M, ,M, ,110.0, ,9.0, 
29.94,,20120602.0,10.0, ,50.0, ,12.0, ,54.0, , , , , , , ,AUTO, ,M, ,29.96, ,M, ,M, ,9.0,154.0,18.0, ,M, ,14753.0, , ,M, ,M, ,110.0, ,13.0, 
29.9,,20120602.0,9.0, ,48.0, ,12.0, ,54.0, , , , , , , ,AUTO, ,M, ,29.93, ,M, ,M, ,9.0,254.0,25.0, ,M, ,14753.0, , ,M, ,M, ,110.0, ,14.0, 
29.88,,20120602.0,8.0, ,46.0, ,12.0, ,54.0, , , ,28.0, ,6.0, ,AUTO, ,M, ,29.91, ,M, ,M, ,9.0,354.0,29.0, ,M, ,14753.0, , ,M, ,M, ,110.0, ,14.0, 
29.89,,20120602.0,9.0, ,48.0, ,12.0, ,54.0, , , , , , , ,AUTO, ,M, ,29.92, ,M, ,M, ,9.0,454.0,23.0, ,M, ,14753.0, , ,M, ,M, ,120.0, ,13.0, 
29.88,,20120602.0,11.0, ,52.0, ,11.0, ,52.0, , , , , , , ,AUTO, ,M, ,29.91, ,M, ,M, ,9.0,554.0,16.0, ,M, ,14753.0, , ,M, ,M, ,110.0, ,13.0, 
29.86,,20120602.0,11.0, ,52.0, ,12.0, ,54.0, , , ,8.0, ,8.0, ,AUTO, ,M, ,29.89, ,M, ,M, ,9.0,654.0,29.0, ,M, ,14753.0, , ,M, ,M, ,110.0, ,17.0, 
